date,visitors
2019-09-27,3152
2019-09-28,3278
2019-09-29,3437
2019-09-30,5000
2019-10-01,5000
2019-10-02,5000
2019-10-03,5000
2019-10-04,5000
2019-10-05,5000
2019-10-06,5000
2019-10-07,4747
2019-10-08,3553
2019-10-09,5000
2019-10-10,5000
2019-10-11,5000
2019-10-12,5000
2019-10-13,5000
2019-10-14,5000
2019-10-15,5000
2019-10-16,5000
2019-10-17,5000
2019-10-18,5000
2019-10-19,5000
2019-10-20,6289
2019-10-21,7481
2019-10-22,8000
2019-10-23,8000
2019-10-24,8000
2019-10-25,8000
2019-10-26,8000
2019-10-27,7806
2019-10-28,7412
2019-10-29,8000
2019-10-30,8000
2019-10-31,8000
2019-11-01,8000
2019-11-02,8000
2019-11-03,8000
2019-11-04,8000
2019-11-05,7838
2019-11-06,7620
2019-11-07,7804
2019-11-08,7279
2019-11-09,7972
2019-11-10,5956
2019-11-11,5802
2019-11-12,5802
2019-11-13,5767
2019-11-14,5865
2019-11-15,5487
2019-11-16,8000
2019-11-17,8000
2019-11-18,8000
2019-11-19,7996
2019-11-20,8000
2019-11-21,8000
2019-11-22,7498
2019-11-23,8000
2019-11-24,5875
2019-11-25,3809
2019-11-26,4433
2019-11-27,5141
2019-11-28,3811
2019-11-29,3562
2019-11-30,3783
2019-12-01,2783
2019-12-02,2183
2019-12-03,2372
2019-12-04,2340
2019-12-05,2527
2019-12-06,3080
2019-12-07,3581
2019-12-08,2458
2019-12-09,2226
2019-12-10,2083
2019-12-11,2290
2019-12-12,2527
2019-12-13,2314
2019-12-14,2666
2019-12-15,2006
2019-12-16,1818
2019-12-17,1770
2019-12-18,1934
2019-12-19,1575
2019-12-20,1594
2019-12-21,2274
2019-12-22,1670
2019-12-23,1705
2019-12-24,1705
2019-12-25,2274
2019-12-26,1816
2019-12-27,2039
2019-12-28,2142
2019-12-29,2199
2019-12-30,2472
2019-12-31,1433
2020-01-01,1077
2020-01-02,1610
2020-01-03,1389
2020-01-04,1639
2020-01-05,1042
2020-01-06,855
2020-01-07,908
2020-01-08,950
2020-01-09,971
2020-01-10,1266
2020-01-11,1665
2020-01-12,1389
2020-01-13,1468
2020-01-14,1447
2020-01-15,1365
2020-01-16,1628
2020-01-17,1445
2020-01-18,1926
2020-01-19,2305
2020-01-20,2401
2020-01-21,2430
2020-01-22,2641
2020-01-23,1974
2020-01-24,2061
2020-01-25,1788
2020-01-26,1580
2020-01-27,652
2020-03-31,279
2020-04-01,208
2020-04-02,295
2020-04-03,311
2020-04-04,528
2020-04-05,2018
2020-04-06,508
2020-04-07,330
2020-04-08,548
2020-04-09,537
2020-04-10,544
2020-04-11,1061
2020-04-12,613
2020-04-13,578
2020-04-14,801
2020-04-15,980
2020-04-16,960
2020-04-17,942
2020-04-18,1281
2020-04-19,1045
2020-04-20,694
2020-04-21,729
2020-04-22,945
2020-04-23,827
2020-04-24,1034
2020-04-25,1569
2020-04-26,1644
2020-04-27,2336
2020-04-28,2065
2020-04-29,2270
2020-04-30,2192
2020-05-01,3463
2020-05-02,9998
2020-05-03,10000
2020-05-04,6048
2020-05-05,1641
2020-05-06,1247
2020-05-07,1616
2020-05-08,1169
2020-05-09,1445
2020-05-10,1234
2020-05-11,1323
2020-05-12,1442
2020-05-13,1896
2020-05-14,2006
2020-05-15,1864
2020-05-16,4017
2020-05-17,2104
2020-05-18,1318
2020-05-19,2315
2020-05-20,2646
2020-05-21,2410
2020-05-22,2691
2020-05-23,3682
2020-05-24,2231
2020-05-25,1687
