feature,importance
visitors_roll_mean_3,0.43323553
visitors_roll_max_3,0.30375755
visitors_roll_min_3,0.13854355
visitors_roll_max_7,0.049637124
visitors_diff_1,0.021280903
visitors_diff_7,0.014133599
is_golden_week,0.0076353173
visitors_lag_3,0.0047822627
visitors_roll_std_3,0.0039978796
day,0.0037515413
visitors_roll_min_7,0.0035399809
visitors_lag_1,0.0027775385
visitors_lag_7,0.0016227989
visitors_wow,0.0016097878
day_of_year,0.0013273953
visitors_roll_max_30,0.0012242557
month,0.0011047707
visitors_roll_mean_14,0.00065870286
visitors_roll_min_30,0.00063519913
visitors_lag_2,0.0005832929
visitors_roll_max_14,0.0004959177
year,0.00043809492
visitors_roll_mean_7,0.0004352321
visitors_roll_std_7,0.00039538273
visitors_roll_min_14,0.0003450424
near_holiday,0.0003445129
visitors_roll_mean_30,0.00027336212
day_of_week,0.00021133911
visitors_roll_std_14,0.00020754189
visitors_lag_365,0.00020666166
visitors_roll_std_30,0.00018358191
is_weekend,0.0001674535
trend_strength,0.0001569007
week_of_year,0.00013349154
is_holiday,8.715521e-05
is_summer,6.72877e-05
is_month_end,1.2075572e-05
quarter,0.0
is_month_start,0.0
is_peak_season,0.0
